score,word
0.045617504508452006,nous avons
0.036906041793423286,cn tower
0.025475587751662917,automated posting
0.025127381014646594,walking distance
0.020585684138014263,die wohnung
0.016222565077819717,grocery store
0.01610675192916164,url hidden
0.014431031352867359,blue jays
0.014007969832380566,public transportation
0.012341368410329628,bien situé
0.010823565837665085,kensington market
0.010242851331658658,washing machine
0.009931797430514921,guu izakaya
0.009931797430514921,spullen stonden
0.009931797430514921,aardige jongen
0.009536995459846239,très bien
0.009150876279171686,union station
0.009146449892551855,trinity bellwoods
0.009033702121821799,public transport
0.008894170478479643,bedbug bites
0.008548476385719744,entertainment district
0.008202936455012744,distillery district
0.008119343315058149,fue muy
0.008089324486363469,volgende keer
0.008089324486363469,prima colazione
0.008089324486363469,haar spullen
0.007431717428495281,zum putzen
0.007431717428495281,nog niet
0.007338329671454336,swimming pool
0.006878909079332604,niagara falls
0.006720988478005255,obwohl wir
0.006650680566492114,public transit
0.006431428244039843,muito bem
0.006418748990592707,lawrence market
0.006394090476460003,bedankt voor
0.006315303420971454,casa loma
0.0063139595073413565,liberty village
0.0059724956652071745,gay village
0.005969264378750372,estaba muy
0.005875435268122964,without hesitation
0.005655214005217923,wohnung nicht
0.005590021433396132,uma estadia
0.005386382315936815,était très
0.005375533091223409,très agréable
0.005248102760699271,sehr gut
0.00515912265426485,jays game
0.004931637426475641,dass sich
0.004835596668658616,added bonus
0.00478433751321793,hockey hall
0.004767638177352431,regular basis
